id	updated_at	exported_at	facility_id	type	date	critical_violations	non_critical_violations
64	2013-03-05 14:51:39	2013-04-15 04:27:36	47	Standard Inspection	2013-02-19	6	10
65	2013-03-05 14:51:45	0000-00-00 00:00:00	48	Follow-up Inspection	2013-02-13	0	0
66	2013-03-05 14:51:45	0000-00-00 00:00:00	48	Standard Inspection	2013-02-08	1	2
67	2013-03-05 14:51:50	0000-00-00 00:00:00	49	Standard Inspection	2013-01-28	0	2
68	2013-03-05 14:52:02	0000-00-00 00:00:00	50	Complaint Inspection	2013-02-01	0	0
69	2013-03-05 14:52:11	0000-00-00 00:00:00	51	Follow-up Inspection	2013-02-08	1	3
70	2013-03-05 14:52:11	0000-00-00 00:00:00	51	Standard Inspection	2013-01-30	4	5
71	2013-03-05 14:52:18	0000-00-00 00:00:00	52	Standard Inspection	2013-02-04	0	0
72	2013-03-05 14:52:21	0000-00-00 00:00:00	53	Standard Inspection	2013-02-05	0	0
73	2013-03-05 14:52:26	0000-00-00 00:00:00	54	Follow-up Inspection	2013-02-08	0	0
74	2013-03-05 14:52:26	0000-00-00 00:00:00	54	Standard Inspection	2013-02-07	3	2
75	2013-03-05 14:52:33	2013-04-15 04:27:37	55	Follow-up Inspection	2013-03-04	0	1
76	2013-03-05 14:52:33	2013-04-15 04:27:38	55	Standard Inspection	2013-02-26	3	7
77	2013-03-05 14:52:36	0000-00-00 00:00:00	56	Standard Inspection	2013-01-29	3	2
78	2013-03-05 14:52:41	0000-00-00 00:00:00	57	Follow-up Inspection	2013-01-11	0	0
79	2013-03-05 14:52:49	0000-00-00 00:00:00	58	Follow-up Inspection	2013-02-07	0	0
80	2013-03-05 14:52:49	0000-00-00 00:00:00	58	Other Inspection	2013-02-05	3	0
81	2013-03-05 14:52:49	0000-00-00 00:00:00	58	Other Inspection	2013-01-08	0	0
82	2013-03-05 14:52:52	0000-00-00 00:00:00	59	Other Inspection	2013-02-13	0	0
83	2013-03-05 14:52:56	0000-00-00 00:00:00	60	Standard Inspection	2013-01-22	2	1
84	2013-03-05 14:53:03	2013-04-15 04:27:38	61	Standard Inspection	2013-02-21	0	3
85	2013-03-05 14:53:07	0000-00-00 00:00:00	62	Follow-up Inspection	2013-01-09	0	1
86	2013-03-05 14:53:10	2013-04-15 04:27:41	63	Standard Inspection	2013-03-04	8	8
87	2013-03-05 14:53:15	0000-00-00 00:00:00	64	Standard Inspection	2013-02-12	1	2
88	2013-03-05 14:53:21	2013-04-15 04:27:42	65	Follow-up Inspection	2013-02-15	1	0
89	2013-03-05 14:53:21	0000-00-00 00:00:00	65	Standard Inspection	2013-01-31	1	0
90	2013-03-05 14:53:28	2013-04-15 04:27:42	66	Standard Inspection	2013-03-01	1	3
91	2013-03-05 14:53:31	0000-00-00 00:00:00	67	Standard Inspection	2013-01-30	0	0
92	2013-03-05 14:53:36	0000-00-00 00:00:00	68	Standard Inspection	2013-02-11	3	5
93	2013-03-05 14:53:45	0000-00-00 00:00:00	69	Standard Inspection	2013-02-05	1	1
94	2013-03-05 14:53:55	0000-00-00 00:00:00	70	Standard Inspection	2013-02-07	1	1
95	2013-03-05 14:54:04	0000-00-00 00:00:00	71	Standard Inspection	2013-02-08	0	0
96	2013-03-05 14:54:13	0000-00-00 00:00:00	72	Standard Inspection	2013-02-06	0	1
97	2013-03-05 14:54:23	2013-04-15 04:27:43	73	Standard Inspection	2013-03-05	0	0
98	2013-03-05 14:54:33	0000-00-00 00:00:00	74	Standard Inspection	2013-01-10	2	0
99	2013-03-05 14:54:46	0000-00-00 00:00:00	75	Standard Inspection	2013-02-11	2	1
100	2013-03-05 14:54:55	0000-00-00 00:00:00	76	Standard Inspection	2013-01-10	2	0
101	2013-03-05 14:55:08	2013-04-15 04:27:43	77	Standard Inspection	2013-03-01	1	0
102	2013-03-05 14:55:24	0000-00-00 00:00:00	78	Standard Inspection	2013-01-22	0	2
103	2013-03-05 14:55:38	2013-04-15 04:27:44	79	Standard Inspection	2013-03-01	0	2
104	2013-03-05 14:55:44	2013-04-15 04:27:44	80	Standard Inspection	2013-02-26	0	0
105	2013-03-05 14:56:44	2013-04-15 04:27:44	81	Standard Inspection	2013-02-28	0	0
106	2013-03-05 14:57:00	0000-00-00 00:00:00	82	Standard Inspection	2013-01-11	1	0
107	2013-03-05 14:57:14	0000-00-00 00:00:00	83	Standard Inspection	2013-01-18	0	1
108	2013-03-05 14:57:29	2013-04-15 04:27:46	84	Standard Inspection	2013-02-28	0	0
109	2013-03-05 14:57:44	0000-00-00 00:00:00	85	Standard Inspection	2013-02-11	0	0
110	2013-03-05 14:58:08	0000-00-00 00:00:00	86	Standard Inspection	2013-01-16	0	0
111	2013-03-05 14:58:23	0000-00-00 00:00:00	87	Standard Inspection	2013-01-16	0	0
112	2013-03-05 14:58:45	0000-00-00 00:00:00	88	Standard Inspection	2013-01-16	0	0
113	2013-03-05 14:59:09	0000-00-00 00:00:00	89	Standard Inspection	2013-01-24	0	0
114	2013-03-05 14:59:22	0000-00-00 00:00:00	90	Standard Inspection	2013-01-24	0	1
115	2013-03-05 14:59:44	0000-00-00 00:00:00	91	Standard Inspection	2013-01-16	1	2
116	2013-03-05 15:00:01	0000-00-00 00:00:00	92	Standard Inspection	2013-01-17	0	0
117	2013-03-05 15:00:10	0000-00-00 00:00:00	93	Standard Inspection	2013-01-17	0	0
118	2013-03-05 15:00:22	0000-00-00 00:00:00	94	Standard Inspection	2013-01-16	0	0
119	2013-03-05 15:00:47	2013-04-15 04:27:46	95	Other Inspection	2013-02-25	0	2
120	2013-03-05 15:00:47	0000-00-00 00:00:00	95	Other Inspection	2013-01-25	0	3
121	2013-03-05 15:01:04	0000-00-00 00:00:00	96	Standard Inspection	2013-02-05	1	3
122	2013-03-05 15:01:15	0000-00-00 00:00:00	97	Standard Inspection	2013-01-25	1	1
123	2013-03-05 15:01:39	2013-04-15 04:27:46	98	Follow-up Inspection	2013-02-15	0	0
124	2013-03-05 15:01:39	0000-00-00 00:00:00	98	Standard Inspection	2013-01-29	1	3
125	2013-03-05 15:01:46	2013-04-15 04:27:47	99	Standard Inspection	2013-02-28	0	0
126	2013-03-05 15:02:03	2013-04-15 04:27:49	100	Follow-up Inspection	2013-02-14	1	0
127	2013-03-05 15:02:03	0000-00-00 00:00:00	100	Follow-up Inspection	2013-02-07	1	0
128	2013-03-05 15:02:03	0000-00-00 00:00:00	100	Standard Inspection	2013-01-10	2	2
129	2013-03-05 15:02:18	0000-00-00 00:00:00	101	Standard Inspection	2013-02-04	0	2
130	2013-03-05 15:02:39	0000-00-00 00:00:00	102	Standard Inspection	2013-01-08	0	0
131	2013-03-05 15:03:12	0000-00-00 00:00:00	103	Standard Inspection	2013-01-08	1	1
132	2013-03-05 15:03:32	0000-00-00 00:00:00	104	Standard and Complaint Inspection	2013-01-23	3	4
133	2013-03-05 15:03:55	0000-00-00 00:00:00	105	Standard Inspection	2013-02-01	3	0
134	2013-03-05 15:04:08	0000-00-00 00:00:00	106	Standard Inspection	2013-01-14	5	3
135	2013-03-05 15:04:14	0000-00-00 00:00:00	107	Complaint Inspection	2013-02-12	0	0
136	2013-03-05 15:04:21	0000-00-00 00:00:00	108	Follow-up Inspection	2013-02-01	0	1
137	2013-03-05 15:04:21	0000-00-00 00:00:00	108	Standard Inspection	2013-01-28	1	6
138	2013-03-05 15:04:27	2013-04-15 04:27:50	109	Standard Inspection	2013-03-01	0	0
139	2013-03-05 15:04:50	0000-00-00 00:00:00	110	Standard Inspection	2013-02-08	0	3
140	2013-03-05 15:05:03	2013-04-15 04:27:50	111	Standard Inspection	2013-03-01	0	0
141	2013-03-05 15:05:18	0000-00-00 00:00:00	112	Standard Inspection	2013-01-04	4	4
142	2013-03-05 15:05:33	2013-04-15 04:27:51	113	Standard Inspection	2013-03-05	0	0
143	2013-03-05 15:05:37	0000-00-00 00:00:00	114	Standard Inspection	2013-01-18	0	1
144	2013-03-05 15:05:43	0000-00-00 00:00:00	115	Follow-up Inspection	2013-01-18	0	1
145	2013-03-05 15:05:43	0000-00-00 00:00:00	115	Follow-up Inspection	2013-01-17	0	2
146	2013-03-05 15:05:43	0000-00-00 00:00:00	115	Standard Inspection	2013-01-14	1	6
147	2013-03-05 15:05:45	2013-04-15 04:27:51	116	Follow-up Inspection	2013-02-22	1	0
148	2013-03-05 15:05:45	0000-00-00 00:00:00	116	Standard Inspection	2013-02-05	2	3
149	2013-03-05 15:05:47	0000-00-00 00:00:00	117	Standard Inspection	2013-01-28	2	2
150	2013-03-05 15:05:50	0000-00-00 00:00:00	118	Standard Inspection	2013-01-10	0	0
151	2013-03-05 15:05:51	0000-00-00 00:00:00	119	Standard Inspection	2013-01-16	0	2
152	2013-03-05 15:05:52	0000-00-00 00:00:00	120	Standard Inspection	2013-01-07	0	0
153	2013-03-05 15:05:54	2013-04-15 04:27:53	121	Standard Inspection	2013-03-01	0	0
154	2013-03-05 15:05:56	0000-00-00 00:00:00	122	Standard Inspection	2013-02-07	1	1
155	2013-03-05 15:05:57	0000-00-00 00:00:00	123	Standard and Complaint Inspection	2013-01-10	1	0
156	2013-03-05 15:06:00	2013-04-15 04:27:54	124	Standard Inspection	2013-02-19	0	1
157	2013-03-05 15:06:02	0000-00-00 00:00:00	125	Complaint Inspection	2013-02-11	0	0
158	2013-03-05 15:06:05	0000-00-00 00:00:00	126	Follow-up Inspection	2013-01-31	1	1
159	2013-03-05 15:06:07	0000-00-00 00:00:00	127	Follow-up Inspection	2013-02-05	0	0
160	2013-03-05 15:06:07	0000-00-00 00:00:00	127	Standard Inspection	2013-02-01	6	12
161	2013-03-05 15:06:10	2013-04-15 04:27:54	128	Standard Inspection	2013-02-27	2	2
162	2013-03-05 15:06:12	0000-00-00 00:00:00	129	Standard Inspection	2013-01-09	0	0
163	2013-03-05 15:06:13	0000-00-00 00:00:00	130	Follow-up Inspection	2013-01-10	0	1
164	2013-03-05 15:06:15	2013-04-15 04:27:55	131	Follow-up Inspection	2013-03-04	0	2
165	2013-03-05 15:06:15	2013-04-15 04:27:55	131	Standard Inspection	2013-02-25	0	7
166	2013-03-05 15:06:17	0000-00-00 00:00:00	132	Standard Inspection	2013-02-01	5	2
167	2013-03-05 15:06:19	2013-04-15 04:27:55	133	Standard Inspection	2013-02-14	2	1
168	2013-03-05 15:06:22	2013-04-15 04:27:56	134	Standard Inspection	2013-03-01	2	2
169	2013-03-05 15:06:24	0000-00-00 00:00:00	135	Standard Inspection	2013-01-09	0	3
170	2013-03-05 15:06:28	2013-04-15 04:27:56	136	Follow-up Inspection	2013-02-14	0	0
171	2013-03-05 15:06:28	0000-00-00 00:00:00	136	30 day Inspection	2013-02-13	3	1
172	2013-03-05 15:06:29	0000-00-00 00:00:00	136	Follow-up Inspection	2013-01-15	0	2
173	2013-03-05 15:06:31	2013-04-15 04:27:57	137	Standard Inspection	2013-02-25	0	0
174	2013-03-05 15:06:34	2013-04-15 04:27:57	138	Standard Inspection	2013-02-25	0	0
175	2013-03-05 15:06:36	2013-04-15 04:27:58	139	Standard Inspection	2013-02-26	0	0
176	2013-03-05 15:06:38	2013-04-15 04:27:59	140	Standard Inspection	2013-02-26	0	0
177	2013-03-05 15:06:41	2013-04-15 04:28:00	141	Follow-up Inspection	2013-02-21	0	0
178	2013-03-05 15:06:41	2013-04-15 04:28:02	141	Follow-up Inspection	2013-02-20	0	0
179	2013-03-05 15:06:41	2013-04-15 04:28:02	141	Standard Inspection	2013-02-19	1	0
180	2013-03-05 15:06:44	2013-04-15 04:28:04	142	Follow-up Inspection	2013-02-26	0	1
181	2013-03-05 15:06:44	2013-04-15 04:28:05	142	Standard Inspection	2013-02-19	1	2
182	2013-03-05 15:06:46	0000-00-00 00:00:00	143	Standard Inspection	2013-01-29	0	2
183	2013-03-05 15:06:49	0000-00-00 00:00:00	144	Standard Inspection	2013-01-08	2	1
184	2013-03-05 15:06:51	0000-00-00 00:00:00	145	Standard Inspection	2013-02-05	0	2
185	2013-03-05 15:06:54	2013-04-15 04:28:06	146	Standard Inspection	2013-03-04	1	0
186	2013-03-05 15:06:57	2013-04-15 04:28:07	147	Standard Inspection	2013-02-28	0	0
187	2013-03-05 15:07:01	0000-00-00 00:00:00	148	Complaint Inspection	2013-01-15	0	1
188	2013-03-05 15:07:03	0000-00-00 00:00:00	149	Standard Inspection	2013-01-24	3	4
189	2013-03-05 15:07:05	0000-00-00 00:00:00	150	Standard Inspection	2013-01-16	0	0
190	2013-03-05 15:07:07	0000-00-00 00:00:00	151	Standard Inspection	2013-01-16	0	0
191	2013-03-05 15:07:09	2013-04-15 04:28:08	152	Standard Inspection	2013-02-21	0	7
192	2013-03-05 15:07:10	0000-00-00 00:00:00	153	Standard Inspection	2013-01-30	0	0
193	2013-03-05 15:07:13	2013-04-15 04:28:08	154	Standard Inspection	2013-02-25	0	0
194	2013-03-05 15:07:16	0000-00-00 00:00:00	155	Standard Inspection	2013-01-28	1	4
195	2013-03-05 15:07:18	2013-04-15 04:28:08	156	Follow-up Inspection	2013-02-27	0	0
196	2013-03-05 15:07:18	2013-04-15 04:28:09	156	Standard Inspection	2013-02-20	4	2
197	2013-03-05 15:07:20	0000-00-00 00:00:00	157	Standard Inspection	2013-01-30	7	0
198	2013-03-05 15:07:24	0000-00-00 00:00:00	158	Follow-up Inspection	2013-02-05	0	1
199	2013-03-05 15:07:24	0000-00-00 00:00:00	158	Standard Inspection	2013-01-30	6	10
